cluster	avg_seq_len	MainBody_length	avg_GC_cont	avg_ATcont_after3p	sum_all_reads	num_gap_bars	scale_rate_5p	num_mismatches_8mer	num_mism_in_MB	len_after_MB	gap_droppin_len	gcs	ats	cpg	cwf	ce	cz	cm2	cm3	ct2	ct3	cl2	cl3	ident2rev_compl_clust	hits_on_mature_miR	bracket-mirna-fraction	hairpin-size-estimate	loop-mirna-distance-estimate	loop-size-estimate	loops-in-hairpin	minimum-free-energy	mirna-bracket-discrepancy	mirna-bracket-majority	mirna-unmatched
12	28.0	28	0.321428571429	NA	6	0	0	0	0	0	0	0.111111111111	0.0526315789474	0.45	2.21057422547	0.950851631809	0.48275862069	0.845023584071	0.727285545958	0.75	0.634615384615	0.8	0.826086956522	70	NO	0.535714285714286	66	7	8	1	-15.00	1	15	13
13	26.125	23	0.34953769057	0.125	8	5	5	0	0	1	1	0.4	0.333333333333	0.47619047619	2.21506598917	0.922682872287	0.5	0.833107320387	0.727285545958	0.75	0.634615384615	0.8	0.826086956522	72	NO	0.428571428571429	46	16	7	1	-17.80	0.571428571428571	12	7
14	24.1494845361	15	0.382704974599	0.348796666667	194	13	13	0	0	7	3	0.0	0.444444444444	0.4	2.21320917526	0.922701786758	0.5	0.808911227313	0.727285545958	0.6875	0.581730769231	0.75	0.804347826087	72	NO	0.535714285714286	70	6	4	1	 -6.60	1	15	13
15	19.7777777778	16	0.390856280659	0.03704	18	15	15	0	0	3	1	0.333333333333	0.4	0.75	1.76899008054	0.924800876357	0.340425531915	0.830807857199	0.610749629867	0.733333333333	0.680952380952	0.789473684211	0.848484848485	70	NO	0.75	72	4	4	3	-16.70	1	12	4
16	26.0492406811	28	0.532793291843	NA	2173	1	1	0	0	0	0	0.375	0.166666666667	0.290909090909	2.20884455513	0.958596868024	0.5	0.852937963444	0.709626010688	0.75	0.605769230769	0.8	0.804347826087	65	NO	0.428571428571429	71	2	4	2	-28.70	1	12	16
17	24.9550561798	26	0.387221234648	NA	89	3	3	0	2	0	0	0.111111111111	0.176470588235	0.45	2.14923503	0.956365899884	0.472727272727	0.853415172422	0.72249375012	0.75	0.65625	0.8	0.840909090909	67	NO	0.5	36	0	3	1	-16.20	0.65	13	6
18	24.6724511931	21	0.311820113488	0.00434	461	7	7	0	0	2	1	0.0	0.368421052632	0.5	2.18697333962	0.903082800338	0.509433962264	0.826411251588	0.693976031629	0.75	0.57	0.8	0.777777777778	74	NO	0.666666666666667	76	11	4	1	-23.60	1	18	9
19	22.1361179361	18	0.400343882763	0.00147333333333	2035	11	11	0	0	12	1	0.25	0.333333333333	0.533333333333	2.05415604791	0.93148859977	0.442307692308	0.870428643247	0.668560840304	0.8125	0.657738095238	0.85	0.829268292683	72	NO	0.521739130434783	66	9	4	1	 -7.70	1	12	11
20	27.3333333333	26	0.620842490842	0.375	12	0	0	0	0	2	0	0.0588235294118	0.272727272727	0.236111111111	2.20765460525	0.971877291968	0.518518518519	0.829880324595	0.706483542767	0.6875	0.528846153846	0.75	0.760869565217	72	NO	0.821428571428571	80	4	14	1	-31.70	1	23	5
21	27.0	27	0.410515873016	0.076925	13	1	1	0	0	2	1	0.384615384615	0.466666666667	0.361111111111	2.21386752138	0.928979732136	0.518518518519	0.841409144019	0.706483542767	0.6875	0.528846153846	0.75	0.760869565217	70	NO	0.535714285714286	58	3	7	1	-23.40	1	15	13
22	27.437037037	28	0.405963246362	NA	945	12	12	0	0	0	0	0.333333333333	0.5	0.375	2.21466027352	0.921185496589	0.491228070175	0.852937963444	0.744945081229	0.75	0.663461538462	0.8	0.847826086957	69	NO	0.464285714285714	57	0	7	2	-10.90	1	13	15
23	27.133360032	28	0.240649730098	0.002	2497	1	1	0	1	3	1	0.0	0.0909090909091	0.666666666667	2.22373432537	0.872452354567	0.509090909091	0.789468028515	0.683984985047	0.625	0.456730769231	0.7	0.717391304348	76	NO	0.5	66	0	12	2	-19.60	1	14	14
24	25.272479564	23	0.678179920176	0.227066666667	367	10	10	0	0	14	2	0.0	0.111111111111	0.222222222222	2.18000341594	0.957660593667	0.473684210526	0.884103559281	0.733976031629	0.8125	0.715	0.85	0.866666666667	70	NO	0.518518518518518	71	4	5	2	-20.60	1	14	13
25	26.875	26	0.453680256941	0.0	16	1	1	0	0	1	0	0.230769230769	0.333333333333	0.325	2.20785988452	0.967274569998	0.5	0.875995602293	0.714465033138	0.8125	0.65625	0.85	0.826086956522	68	NO	0.535714285714286	70	3	14	1	-14.00	1	15	13
26	26.2522522523	26	0.26135457604	0.33934	111	1	1	0	0	3	3	0.142857142857	0.1	0.583333333333	2.18828969329	0.908222263671	0.490909090909	0.833669785263	0.720642698296	0.6875	0.5775	0.75	0.8	76	NO	0.555555555555556	71	0	30	1	 -2.00	1	15	12
27	28.0	28	0.357142857143	NA	6	0	0	0	0	0	0	0.4	0.333333333333	0.47619047619	2.21506598917	0.922682872287	0.509090909091	0.852937963444	0.701644520317	0.75	0.576923076923	0.8	0.782608695652	70	NO	0.571428571428571	53	0	8	1	-17.30	1	16	12
28	27.8515093826	28	0.353920379389	0.00018	3677	0	0	0	0	5	1	0.2	0.111111111111	0.416666666667	2.20891155754	0.96208717615	0.528301886792	0.820440046737	0.666325449777	0.75	0.519230769231	0.8	0.739130434783	69	NO	0.464285714285714	70	18	4	1	-12.20	1	13	15
29	24.0416666667	18	0.381545611928	0.04167	48	13	13	0	0	4	1	0.4	0.125	0.47619047619	2.15080452549	0.954312523995	0.490566037736	0.789769892656	0.666938194565	0.625	0.442708333333	0.7	0.704545454545	71	NO	0.615384615384615	59	0	6	2	-15.70	0.941176470588235	16	9
30	28.0	28	0.5	NA	6	0	0	0	0	0	0	0.142857142857	0.142857142857	0.291666666667	2.20421451457	0.992614068017	0.509090909091	0.859927662538	0.701644520317	0.75	0.576923076923	0.8	0.782608695652	65	NO	0.428571428571429	71	23	9	2	-25.70	0.75	12	12
31	26.9029585799	28	0.450917704669	NA	1690	1	1	0	0	0	0	0.0769230769231	0.0666666666667	0.309523809524	2.20368331201	0.996307034009	0.509090909091	0.875070922014	0.683984985047	0.8125	0.59375	0.85	0.782608695652	70	NO	0.428571428571429	76	0	8	2	-18.30	0.857142857142857	12	14
32	21.3293577982	18	0.569036045233	0.12722	1090	10	10	0	0	6	1	0.0909090909091	0.5	0.366666666667	1.9004939384	0.949511375588	0.38	0.827067708634	0.642028120601	0.6875	0.606617647059	0.75	0.810810810811	72	NO	0.473684210526316	27	0	6	1	-28.70	1	9	10
33	24.4285714286	26	0.628111590926	0.107145	14	0	0	2	6	2	0	0.25	0.0909090909091	0.266666666667	2.17718854384	0.972842428268	0.5	0.809973694429	0.683910864934	0.6875	0.5225	0.75	0.755555555556	67	NO	0.481481481481481	43	4	3	1	-27.90	0.764705882352941	13	10
34	25.9	24	0.493023653906	0.466666666667	10	7	7	0	0	9	4	0.0769230769231	0.466666666667	0.309523809524	2.20989622815	0.953409474176	0.518518518519	0.848398843113	0.701644520317	0.75	0.576923076923	0.8	0.782608695652	70	NO	0.5	78	19	4	1	-26.30	1	14	14
35	20.817625	18	0.618063550434	0.109416666667	8000	9	9	0	0	17	11	0.166666666667	0.428571428571	0.342857142857	1.90156346431	0.943154140846	0.395833333333	0.799289930856	0.602812434326	0.625	0.477941176471	0.7	0.72972972973	80	NO	0.473684210526316	33	0	7	1	-35.30	1	9	10
36	23.5519848771	20	0.338864919816	0.068995	529	9	9	0	0	2	1	0.428571428571	0.2	0.7	2.02342454575	0.919517161779	0.44	0.808025451211	0.653654682481	0.6875	0.55	0.75	0.775	72	NO	0.772727272727273	77	0	7	2	-15.30	1	17	5
37	27.3651324248	27	0.415628863773	0.00034	3889	1	1	0	0	5	1	0.166666666667	0.125	0.342857142857	2.20534597995	0.985071489668	0.518518518519	0.826505065552	0.679145962597	0.75	0.548076923077	0.8	0.760869565217	67	NO	0.607142857142857	85	0	11	2	-12.00	1	17	11
38	20.9069767442	18	0.450500806113	0.24806	129	1	1	0	0	10	0	0.5	0.4	0.666666666667	1.86337139174	0.920625085141	0.391304347826	0.775470305869	0.575469921852	0.625	0.46875	0.7	0.722222222222	74	NO	0.388888888888889	62	0	8	2	-14.50	0.777777777777778	7	9
39	26.3333333333	20	0.560073260073	0.166666666667	6	13	13	0	0	11	7	0.625	0.166666666667	0.410256410256	2.21770093896	0.90150373305	0.518518518519	0.834419444925	0.701644520317	0.75	0.576923076923	0.8	0.782608695652	69	NO	0.178571428571429	27	0	14	1	 -2.20	0.625	5	20
40	23.3333333333	16	0.322657867495	NA	45	12	12	0	0	0	0	0.333333333333	0.157894736842	0.5	2.21386752138	0.933705848323	0.528301886792	0.852937963444	0.693663029947	0.75	0.548076923077	0.8	0.760869565217	69	NO	0.642857142857143	76	5	8	1	-25.60	1	18	10
41	24.9666666667	24	0.592549555707	0.0	30	1	1	2	3	3	0	0.0588235294118	0.0909090909091	0.236111111111	2.20587718251	0.981378523676	0.518518518519	0.878446181056	0.701644520317	0.8125	0.625	0.85	0.804347826087	67	NO	0.464285714285714	41	0	5	1	-34.10	0.928571428571429	13	14
42	24.6357069143	22	0.390268852158	NA	969	11	11	0	0	0	0	0.4	0.0	0.47619047619	2.15036760094	0.957789629137	0.481481481481	0.898317422379	0.708604861231	0.8125	0.677083333333	0.85	0.840909090909	69	NO	0.461538461538462	80	15	5	1	-12.40	1	12	14
43	20.7424242424	18	0.53150446356	0.140573333333	396	7	7	0	0	12	3	0.2	0.111111111111	0.416666666667	1.88957189894	0.989242296754	0.387755102041	0.865330035053	0.661635963738	0.75	0.705882352941	0.8	0.864864864865	68	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	28.0	28	0.535714285714	NA	11	0	0	0	0	0	0	0.2	0.384615384615	0.277777777778	2.20859152346	0.964955585488	0.518518518519	0.889975000481	0.714465033138	0.8125	0.65625	0.85	0.826086956522	72	NO	0.571428571428571	53	0	9	1	-24.60	1	16	12
45	23.85	18	0.450467926409	0.291666666667	40	7	7	0	0	13	8	0.666666666667	0.166666666667	0.6	2.09558101886	0.907472794575	0.461538461538	0.823665896552	0.661762182635	0.6875	0.53125	0.75	0.761904761905	67	NO	0.5	78	0	10	2	-16.10	1	12	12
46	27.375	26	0.477513227513	NA	16	2	2	0	0	0	0	0.538461538462	0.2	0.433333333333	2.21328856643	0.939154809808	0.491228070175	0.882985301387	0.732124568408	0.8125	0.6875	0.85	0.847826086957	74	NO	0.678571428571429	82	10	8	1	-27.50	1	19	9
47	28.0	28	0.392857142857	NA	8	0	0	0	0	0	0	0.454545454545	0.176470588235	0.458333333333	2.21235164821	0.946076516289	0.509090909091	0.833494764646	0.701644520317	0.75	0.576923076923	0.8	0.782608695652	75	NO	0.392857142857143	66	11	10	1	-21.50	0.785714285714286	11	14
48	25.1761658031	20	0.390196078431	0.4715	386	1	1	0	0	8	0	0.166666666667	0.125	0.342857142857	2.20534597995	0.985071489668	0.509090909091	0.848398843113	0.680842517126	0.75	0.548076923077	0.8	0.760869565217	70	NO	0.214285714285714	33	0	20	1	-20.30	0.857142857142857	6	21
49	27.5298507463	27	0.548913951546	0.00746	134	0	0	0	0	1	0	0.125	0.166666666667	0.253968253968	2.20534597995	0.985071489668	0.518518518519	0.889975000481	0.688824007497	0.8125	0.59375	0.85	0.782608695652	75	NO	0.821428571428571	59	0	5	1	-32.00	1	23	5
50	22.5761746559	22	0.364690290153	0.03544	2107	6	6	0	0	8	1	0.0	0.571428571429	0.5	2.02416139752	0.893155915974	0.44	0.779568790193	0.653654682481	0.625	0.5	0.7	0.75	69	NO	0.590909090909091	59	5	5	1	-24.00	1	13	9
51	22.75	14	0.469964948603	0.458333333333	8	8	8	0	0	11	0	0.384615384615	0.2	0.361111111111	2.20859152346	0.964955585488	0.528301886792	0.873907060726	0.688824007497	0.8125	0.59375	0.85	0.782608695652	68	NO	0.142857142857143	53	19	7	1	-14.10	1	4	24
52	27.625	26	0.563492063492	0.0	24	1	1	0	0	2	0	0.25	0.0	0.266666666667	2.20587718251	0.97959521171	0.518518518519	0.841409144019	0.688824007497	0.75	0.548076923077	0.8	0.760869565217	78	NO	0.535714285714286	69	16	4	1	-31.30	0.833333333333333	15	10
53	27.4545454545	28	0.482142857143	NA	11	0	0	0	0	0	0	0.230769230769	0.0666666666667	0.325	2.2049402643	0.988300230157	0.509090909091	0.866917361632	0.688824007497	0.8125	0.59375	0.85	0.782608695652	73	NO	0.642857142857143	61	0	6	1	-28.20	1	18	10
54	26.4636363636	25	0.463976266551	0.253536666667	330	6	6	0	0	3	3	0.0	0.125	0.333333333333	2.20462023023	0.989385327528	0.509090909091	0.896964699575	0.696805497868	0.875	0.673076923077	0.9	0.826086956522	69	NO	0.357142857142857	84	0	8	2	-25.80	1	10	18
55	27.2	28	0.46130952381	NA	5	0	0	0	0	0	0	0.230769230769	0.733333333333	0.325	2.22470660722	0.873046089417	0.538461538462	0.777939209091	0.663182981856	0.625	0.408653846154	0.7	0.673913043478	74	NO	0.535714285714286	75	7	4	1	-12.20	1	15	13
56	25.2	21	0.529761904762	NA	5	7	7	0	0	0	0	0.733333333333	0.384615384615	0.576923076923	2.22742094818	0.856623151229	0.518518518519	0.73845159329	0.663182981856	0.5625	0.367788461538	0.65	0.652173913043	71	NO	0.714285714285714	80	10	6	1	-23.90	1	20	8
57	21.8636363636	17	0.556445866344	0.0757566666667	22	2	2	0	0	11	10	0.166666666667	0.777777777778	0.342857142857	2.00260435384	0.880417641655	0.42	0.786609836168	0.620268620662	0.625	0.460526315789	0.7	0.717948717949	71	NO	0.619047619047619	68	14	4	1	-15.00	1	13	8
58	26.1964285714	28	0.310903761199	NA	224	0	0	0	0	0	0	0.333333333333	0.473684210526	0.5	2.21976303213	0.882654748712	0.509090909091	0.781166204883	0.637541956215	0.6875	0.423076923077	0.75	0.673913043478	74	NO	0.785714285714286	77	3	5	1	-18.50	1	22	6
59	20.8571428571	16	0.431066176471	0.130953333333	28	1	1	2	2	13	0	0.0	0.0	0.666666666667	1.75581933777	0.977217001462	0.347826086957	0.672311607127	0.55414382627	0.466666666667	0.366666666667	0.578947368421	0.666666666667	70	NO	0.8125	60	9	13	1	-23.30	1	13	3
60	26.7647058824	26	0.49024691358	0.294116666667	17	0	0	0	0	3	3	0.142857142857	0.142857142857	0.291666666667	2.20421451457	0.992614068017	0.528301886792	0.878446181056	0.693663029947	0.8125	0.625	0.85	0.804347826087	69	NO	0.642857142857143	80	2	12	2	-25.20	1	18	10
61	24.1785714286	16	0.345058426769	0.227676666667	896	12	12	0	0	9	4	0.6	0.444444444444	0.625	2.22470660722	0.873046089417	0.518518518519	0.826505065552	0.680842517126	0.8125	0.59375	0.85	0.782608695652	74	NO	0.678571428571429	73	0	13	2	-15.10	1	19	9
62	27.4545454545	27	0.355738705739	NA	11	1	1	0	0	0	0	0.333333333333	0.263157894737	0.5	2.21506598917	0.922682872287	0.528301886792	0.807986547034	0.671164472227	0.6875	0.475961538462	0.75	0.717391304348	68	NO	0.535714285714286	54	0	4	1	-13.90	1	15	13
63	24.5316455696	17	0.427226890756	0.232066666667	79	5	5	0	0	6	0	0.166666666667	0.375	0.342857142857	2.20884455513	0.958596868024	0.549019607843	0.807986547034	0.671164472227	0.6875	0.475961538462	0.75	0.717391304348	65	NO	0.642857142857143	62	0	6	1	-17.20	1	18	10
64	23.5058823529	20	0.451833194985	NA	85	8	8	0	0	0	0	0.166666666667	0.0769230769231	0.342857142857	2.11149608609	0.993480407136	0.5	0.843953645923	0.641537318732	0.6875	0.478260869565	0.75	0.720930232558	71	NO	0.52	39	0	3	1	-22.10	0.8125	13	9
65	20.1914893617	16	0.425241737597	0.12057	47	6	6	5	3	8	7	0.714285714286	0.111111111111	1.16666666667	1.78415966889	0.902518266289	0.372093023256	0.697474523866	0.539321058438	0.533333333333	0.380952380952	0.631578947368	0.666666666667	81	NO	0.3125	46	15	7	1	 -4.80	1	5	11
66	24.8947368421	19	0.370379072682	0.50877	19	0	0	0	0	9	0	0.0	0.111111111111	0.4	2.20785988452	0.967274569998	0.538461538462	0.812525667364	0.671164472227	0.6875	0.475961538462	0.75	0.717391304348	71	NO	0.714285714285714	73	0	4	2	-20.60	1	20	8
67	23.8695652174	13	0.547780281668	0.246376666667	23	13	13	0	0	13	11	0.733333333333	0.0	0.576923076923	2.19465921924	0.875124003962	0.509433962264	0.802466780476	0.652211614919	0.6875	0.4675	0.75	0.711111111111	70	NO	0.407407407407407	63	19	6	1	-24.20	0.733333333333333	11	12
68	20.5161290323	22	0.766037356972	0.05914	62	2	2	0	0	11	1	0.411764705882	0.333333333333	0.283333333333	1.98829178255	0.745234285366	0.408163265306	0.663762634854	0.569896990941	0.5	0.333333333333	0.6	0.631578947368	75	NO	0.95	53	4	5	1	-49.00	1	19	1
69	18.1085714286	23	0.396513605487	0.0142833333333	700	1	1	0	0	7	1	0.142857142857	0.0909090909091	0.583333333333	1.84907769249	0.977342973473	0.382978723404	0.764369019072	0.575469921852	0.5625	0.421875	0.65	0.694444444444	74	NO	0.666666666666667	48	0	4	2	-17.90	1	12	6
70	22.4318181818	13	0.566284081416	0.113636666667	44	15	15	0	0	3	0	0.5	0.111111111111	0.444444444444	1.98004405432	0.936781259256	0.411764705882	0.783301554837	0.613646800467	0.625	0.460526315789	0.7	0.717948717949	71	NO	0.666666666666667	67	6	8	1	-23.50	1	14	7
71	27.3417721519	27	0.228223701419	0.72152	79	1	1	0	0	1	0	0.666666666667	0.0909090909091	1.2	2.23887712727	0.834954756887	0.538461538462	0.781166204883	0.642380978665	0.6875	0.423076923077	0.75	0.673913043478	78	NO	0.464285714285714	33	0	5	1	-24.70	0.65	13	8
72	27.4	28	0.358571428571	NA	5	0	0	0	0	0	0	0.4	0.555555555556	0.47619047619	2.22154045487	0.873153517004	0.509090909091	0.774324769039	0.670524308957	0.6875	0.502403846154	0.75	0.739130434783	67	NO	0.464285714285714	56	17	6	1	-15.80	0.590909090909091	13	6
73	27.3333333333	19	0.281385281385	0.25926	9	9	9	0	0	9	0	0.0	0.333333333333	0.4	2.21057422547	0.943880925996	0.491228070175	0.889050320202	0.744945081229	0.875	0.774038461538	0.9	0.891304347826	70	NO	0.321428571428571	80	0	4	3	-17.90	1	9	19
74	26.2857142857	24	0.822685848773	0.0	7	2	2	0	2	5	3	0.25	0.5	0.177777777778	2.24900285214	0.762827970863	0.538461538462	0.722383653535	0.632702933765	0.625	0.384615384615	0.7	0.652173913043	81	NO	0.75	66	3	4	1	-53.10	1	21	7
75	23.8518518519	21	0.452650267123	0.34568	27	5	5	0	1	5	3	0.0	0.428571428571	0.4	2.08486074443	0.950011210824	0.436363636364	0.870020923797	0.743238603106	0.75	0.75	0.8	0.904761904762	67	NO	0.791666666666667	50	0	5	1	-21.00	1	19	5
76	23.0	16	0.471244747899	0.0	11	1	1	0	0	11	0	0.2	0.0769230769231	0.277777777778	2.20462023023	0.989385327528	0.48275862069	0.964049074555	0.77058610687	1.0	0.961538461538	1.0	0.978260869565	78	NO	0.75	58	0	7	1	-24.80	1	21	7
77	25.1223628692	28	0.431377566436	0.39338	3081	2	2	0	0	2	2	0.166666666667	0.125	0.342857142857	2.20534597995	0.985071489668	0.491228070175	0.908493518999	0.744945081229	0.875	0.774038461538	0.9	0.891304347826	69	NO	0.714285714285714	71	9	4	1	-21.90	1	20	8
78	27.3333333333	26	0.39010989011	0.222223333333	6	5	5	0	1	3	3	0.666666666667	0.125	0.6	2.21976303213	0.914390132167	0.48275862069	0.859927662538	0.744945081229	0.8125	0.71875	0.85	0.869565217391	70	NO	0.535714285714286	52	0	10	1	-20.70	1	15	13
79	24.2575757576	17	0.546202852374	0.515153333333	66	0	0	0	0	15	12	0.333333333333	0.230769230769	0.3	2.20785988452	0.967274569998	0.48275862069	0.908493518999	0.757765594049	0.875	0.807692307692	0.9	0.913043478261	67	NO	0.5	77	0	6	2	-16.00	0.875	14	12
80	24.0952380952	17	0.422063492063	0.222223333333	21	11	11	0	0	3	0	0.166666666667	0.2	0.342857142857	2.17588503776	0.982995140968	0.482142857143	0.929823631417	0.733976031629	0.875	0.77	0.9	0.888888888889	69	NO	0.444444444444444	74	11	16	1	-14.50	0.857142857142857	12	13
81	27.4285714286	20	0.427083333333	0.476193333333	7	8	8	0	0	8	0	0.230769230769	0.0666666666667	0.325	2.2049402643	0.988300230157	0.5	0.896964699575	0.744945081229	0.8125	0.71875	0.85	0.869565217391	76	NO	0.178571428571429	14	0	5	1	-19.20	0.5	5	18
82	26.4	28	0.525	0.2	5	0	0	0	0	1	0	0.0	0.142857142857	0.285714285714	2.20368331201	0.996307034009	0.48275862069	0.938540856942	0.757765594049	0.9375	0.865384615385	0.95	0.934782608696	75	NO	0.607142857142857	85	16	6	1	-27.50	1	17	11
83	23.2886597938	17	0.549928803325	0.460483333333	97	12	12	0	0	8	5	0.2	0.384615384615	0.277777777778	2.20859152346	0.964955585488	0.491228070175	0.896040019296	0.757765594049	0.875	0.807692307692	0.9	0.913043478261	82	NO	0.464285714285714	45	0	8	1	-23.20	0.8125	13	12
84	22.8554216867	20	0.480401750021	0.71687	332	10	10	0	0	1	0	0.2	0.0909090909091	0.416666666667	1.9701622091	0.990701795125	0.403846153846	0.896045929945	0.690444059258	0.8125	0.769736842105	0.85	0.897435897436	62	NO	0.238095238095238	15	0	4	1	-22.90	0.5	5	11
85	22.0322580645	20	0.389382716049	0.16129	31	1	1	0	4	10	9	0.333333333333	0.142857142857	0.75	1.94633998493	0.923219672336	0.4	0.857905891462	0.676468981722	0.75	0.708333333333	0.8	0.868421052632	70	NO	0.7	70	12	6	1	-24.30	1	14	6
86	27.0	26	0.348565015232	0.190476666667	7	2	2	0	0	3	2	0.0	0.333333333333	0.4	2.21057422547	0.943880925996	0.491228070175	0.908493518999	0.744945081229	0.875	0.774038461538	0.9	0.891304347826	68	NO	0.607142857142857	53	0	6	1	-12.00	1	17	11
87	24.6889352818	25	0.491136176775	0.17954	479	4	4	0	0	1	1	0.384615384615	0.0769230769231	0.361111111111	2.14709981245	0.971554773076	0.481481481481	0.858317422379	0.694715972342	0.75	0.59375	0.8	0.795454545455	71	NO	0.346153846153846	45	15	6	1	-13.80	0.642857142857143	9	12
88	27.1111111111	25	0.519692307692	0.333335	9	2	2	0	2	2	0	0.142857142857	0.0	0.291666666667	2.20368331201	0.996307034009	0.48275862069	0.908493518999	0.732124568408	0.875	0.740384615385	0.9	0.869565217391	73	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA
89	24.5789473684	16	0.615941299039	0.245613333333	38	5	5	0	0	10	0	0.294117647059	0.2	0.257575757576	2.18060381367	0.950160458236	0.5	0.872131323724	0.720642698296	0.75	0.63	0.8	0.822222222222	76	NO	0.703703703703704	78	12	3	1	-27.50	1	19	8
90	26.0	19	0.371153846154	0.4	5	7	7	0	0	12	0	0.2	0.111111111111	0.416666666667	2.20891155754	0.96208717615	0.48275862069	0.915483218093	0.732124568408	0.875	0.740384615385	0.9	0.869565217391	68	NO	0.285714285714286	24	0	7	1	-13.00	0.727272727272727	8	17
91	25.8	25	0.42761988012	0.2	5	2	2	0	0	3	0	0.0909090909091	0.294117647059	0.366666666667	2.2081188054	0.962910705884	0.5	0.922472917188	0.732124568408	0.875	0.740384615385	0.9	0.869565217391	68	NO	0.571428571428571	80	0	6	2	-14.70	1	16	12
92	22.0652173913	22	0.545238095238	0.130433333333	46	7	7	0	1	5	2	0.272727272727	0.333333333333	0.392857142857	1.93653204936	0.963060373421	0.4	0.815207042806	0.657950463203	0.6875	0.611111111111	0.75	0.815789473684	70	NO	0.75	68	0	13	2	-19.30	1	15	5
